# Data generated by me. See .ipynb in root dir
,visitors,infected,situation
119,55006,20,unfettered
120,59472,609,unfettered
121,41290,37,unfettered
122,93735,618,unfettered
123,70123,234,unfettered
124,74392,341,unfettered
125,21101,45,unfettered
126,52172,147,unfettered
127,51539,385,unfettered
128,15058,142,unfettered
129,15033,104,unfettered
130,85349,328,unfettered
131,39635,151,unfettered
132,64245,510,unfettered
133,90944,887,unfettered
134,17777,26,unfettered
135,93891,258,unfettered
136,66389,395,unfettered
137,98021,203,unfettered
138,45894,68,unfettered
139,71743,287,unfettered
140,20300,199,unfettered
141,68310,243,unfettered
142,67962,272,unfettered
143,99221,164,unfettered
144,87145,316,unfettered
145,85922,94,unfettered
146,67512,231,unfettered
147,17792,33,unfettered
148,91313,398,unfettered
149,67379,299,unfettered
150,13985,59,unfettered
151,62888,99,unfettered
152,93125,308,unfettered
153,60815,324,unfettered
154,44818,358,unfettered
155,90051,132,unfettered
156,39006,314,unfettered
157,67586,298,unfettered
158,42658,306,unfettered
159,90526,449,unfettered
160,71459,36,unfettered
161,52198,71,unfettered
162,52995,430,unfettered
163,97779,835,unfettered
164,41817,112,unfettered
165,59957,202,unfettered
166,92746,347,unfettered
167,28313,71,unfettered
168,25896,130,unfettered
169,73022,39,unfettered
170,58618,34,unfettered
171,92882,416,unfettered
172,30863,299,unfettered
173,58328,434,unfettered
174,15628,27,unfettered
175,13119,75,unfettered
176,71674,46,unfettered
177,80770,52,unfettered
178,40607,109,unfettered
179,47991,115,unfettered
180,41311,101,unfettered
181,57295,258,unfettered
182,50883,248,unfettered
183,71149,550,unfettered
184,89853,678,unfettered
185,94374,615,unfettered
186,37152,585,unfettered
187,20647,121,unfettered
188,11670,82,unfettered
189,50463,72,unfettered
190,99660,201,unfettered
191,26502,11,unfettered
192,29769,17,unfettered
193,29141,39,unfettered
194,46759,8,unfettered
195,47318,72,unfettered
196,60306,491,unfettered
197,86153,108,unfettered
198,75526,420,unfettered
199,77035,85,unfettered
200,86720,150,unfettered
201,46069,347,unfettered
202,23499,31,unfettered
203,72466,580,unfettered
204,91415,57,unfettered
205,88655,397,unfettered
206,50785,78,unfettered
207,96212,118,unfettered
208,23575,27,unfettered
209,18408,96,unfettered
210,32103,129,unfettered
211,38337,2,unfettered
212,63260,182,unfettered
213,13007,97,unfettered
214,15829,49,unfettered
215,84725,127,unfettered
216,25109,71,unfettered
217,98737,478,unfettered
218,92721,137,unfettered
219,62444,80,unfettered
220,34266,343,unfettered
221,49687,189,unfettered
222,46827,342,unfettered
223,63781,440,unfettered
224,61993,397,unfettered
225,75097,205,unfettered
226,60177,354,unfettered
227,82795,64,unfettered
228,25165,10,unfettered
229,47792,467,unfettered
230,75958,711,unfettered
231,99231,478,unfettered
232,68797,159,unfettered
233,80863,136,unfettered
234,64290,307,unfettered
235,65415,81,unfettered
236,82149,496,unfettered
237,20665,139,unfettered
238,85586,479,unfettered
239,38889,156,unfettered
240,74171,60,unfettered
241,65678,7,unfettered
242,68507,5,unfettered
243,83462,146,unfettered
244,26827,53,unfettered
245,73727,65,unfettered
246,13516,3,unfettered
247,32919,375,unfettered
248,87429,674,unfettered
249,21285,43,unfettered
250,32239,58,unfettered
251,87803,625,unfettered
252,76127,122,unfettered
253,21247,237,unfettered
254,99348,593,unfettered
255,37274,369,unfettered
256,38715,50,unfettered
257,96242,955,unfettered
258,30522,145,unfettered
259,36443,367,unfettered
260,41915,57,unfettered
261,21946,73,unfettered
262,76822,846,unfettered
263,63449,37,unfettered
264,50521,585,unfettered
265,66523,417,unfettered
266,22094,21,unfettered
267,32239,270,unfettered
268,24474,90,unfettered
269,46950,116,unfettered
270,98609,86,unfettered
271,97100,655,unfettered
272,39209,452,unfettered
273,44206,78,unfettered
274,20200,112,unfettered
275,58464,253,unfettered
276,94118,41,unfettered
277,64440,207,unfettered
278,23719,244,unfettered
279,56089,9,unfettered
280,74240,294,unfettered
281,85664,618,unfettered
282,38066,5,unfettered
283,90672,1138,unfettered
284,41818,115,unfettered
285,31303,230,unfettered
286,72134,648,unfettered
287,89159,451,unfettered
288,16437,187,unfettered
289,62847,231,unfettered
290,59524,500,unfettered
291,40549,51,unfettered
292,39210,92,unfettered
293,48043,8,unfettered
294,34926,121,unfettered
295,81358,308,unfettered
296,46811,257,unfettered
297,40107,115,unfettered
298,59719,260,unfettered
299,74777,190,unfettered
300,30009,51,unfettered
301,89098,317,unfettered
302,29500,117,unfettered
303,97805,106,unfettered
304,72435,118,unfettered
305,16381,97,unfettered
306,74442,182,unfettered
307,35787,67,unfettered
308,17796,36,unfettered
309,21795,129,unfettered
310,14001,93,unfettered
311,13918,70,unfettered
312,92795,367,unfettered
313,17582,7,unfettered
314,53523,204,unfettered
315,77021,232,unfettered
316,42460,272,unfettered
317,13055,0,unfettered
318,60462,194,unfettered
319,20422,206,unfettered
320,92564,438,unfettered
321,83675,101,unfettered
322,90503,728,unfettered
323,98921,258,unfettered
324,18849,32,unfettered
325,95217,298,unfettered
326,34456,295,unfettered
327,82451,302,unfettered
328,80420,712,unfettered
329,84810,182,unfettered
330,85380,619,unfettered
331,52137,214,unfettered
332,24932,4,unfettered
333,56639,63,unfettered
334,75502,1096,unfettered
335,40828,211,unfettered
336,36311,219,unfettered
337,87903,767,unfettered
338,66355,137,unfettered
339,80320,121,unfettered
340,28283,24,unfettered
341,67379,249,unfettered
342,44767,541,unfettered
343,42242,2,unfettered
344,75186,280,unfettered
345,20563,149,unfettered
346,15865,29,unfettered
347,95222,709,unfettered
348,16977,171,unfettered
349,21374,115,unfettered
350,62949,384,unfettered
351,25525,122,unfettered
352,86811,860,unfettered
353,30919,140,unfettered
354,56486,33,unfettered
355,35877,105,unfettered
356,51013,72,unfettered
357,86192,325,unfettered
358,39259,27,unfettered
359,15005,15,unfettered
360,87516,620,unfettered
361,72814,127,unfettered
362,21734,37,unfettered
363,95645,465,unfettered
364,17581,201,unfettered
365,51943,61,unfettered
366,23814,111,unfettered
367,29951,337,unfettered
368,23467,127,unfettered
369,82552,376,unfettered
370,45142,279,unfettered
371,70038,744,unfettered
372,56013,7,unfettered
373,32766,52,unfettered
374,35973,88,unfettered
375,28238,274,unfettered
376,48110,204,unfettered
377,61058,325,unfettered
378,93603,604,unfettered
379,72536,120,unfettered
380,21686,213,unfettered
381,48788,406,unfettered
382,46875,265,unfettered
383,92322,121,unfettered
384,75475,101,unfettered
385,28261,19,unfettered
386,55139,215,unfettered
387,45832,95,unfettered
388,77277,192,unfettered
389,26085,101,unfettered
390,27134,180,unfettered
391,61792,165,unfettered
392,94808,44,unfettered
393,58236,640,unfettered
394,21808,90,unfettered
395,12772,88,unfettered
396,33410,225,unfettered
397,41846,188,unfettered
398,59014,83,unfettered
399,19325,234,unfettered
400,17928,135,unfettered
401,38055,1,unfettered
402,66957,684,unfettered
403,26587,92,unfettered
404,23381,44,unfettered
405,33069,258,unfettered
406,73515,439,unfettered
407,85074,4,unfettered
408,81390,433,unfettered
409,99720,235,unfettered
410,43316,75,unfettered
411,65704,319,unfettered
412,65637,704,unfettered
413,55287,510,unfettered
414,94574,851,unfettered
415,89789,186,unfettered
416,86396,307,unfettered
417,28927,198,unfettered
418,59071,95,unfettered
419,15941,66,unfettered
420,59818,876,unfettered
421,87976,775,unfettered
422,50040,67,unfettered
423,93426,276,unfettered
424,40398,189,unfettered
425,61871,220,unfettered
426,83368,63,unfettered
427,56632,318,unfettered
428,10490,20,unfettered
429,87565,387,unfettered
430,79923,589,unfettered
431,92713,34,unfettered
432,50468,121,unfettered
433,72337,562,unfettered
434,83428,204,unfettered
435,17257,142,unfettered
436,28349,58,unfettered
437,25165,125,unfettered
438,90589,12,unfettered
439,51293,87,unfettered
440,91783,130,unfettered
441,89190,577,unfettered
442,24488,63,unfettered
443,30794,107,unfettered
444,13371,15,unfettered
445,72000,65,unfettered
446,82707,111,unfettered
447,45671,165,unfettered
448,69154,63,unfettered
449,12865,108,unfettered
450,40441,206,unfettered
451,95021,377,unfettered
452,42762,12,unfettered
453,37692,16,unfettered
454,73748,905,unfettered
455,68930,390,unfettered
456,21714,125,unfettered
457,49645,308,unfettered
458,59982,834,unfettered
459,48303,18,unfettered
460,96353,59,unfettered
461,89601,487,unfettered
462,97042,680,unfettered
463,15494,97,unfettered
464,97659,321,unfettered
465,51279,179,unfettered
466,73210,113,unfettered
467,22844,117,unfettered
468,83317,263,unfettered
469,36725,25,unfettered
470,43504,347,unfettered
471,68691,38,unfettered
472,59696,172,unfettered
473,10193,32,unfettered
474,84468,132,unfettered
475,23628,8,unfettered
476,64954,60,unfettered
477,37878,6,unfettered
478,12835,56,unfettered
479,61436,24,unfettered
480,88661,205,unfettered
481,58223,202,unfettered
482,18892,8,unfettered
483,32470,359,unfettered
484,35780,277,unfettered
485,17204,138,unfettered
486,42274,165,unfettered
487,66710,232,unfettered
488,75715,124,unfettered
489,51761,151,unfettered
490,31425,105,unfettered
491,80474,254,unfettered
492,93019,594,unfettered
493,25797,7,unfettered
494,79423,403,unfettered
495,82971,206,unfettered
496,79673,297,unfettered
497,38866,284,unfettered
498,15136,126,unfettered
499,96343,696,unfettered
500,23361,154,unfettered
501,12703,39,unfettered
502,31538,10,unfettered
503,38003,3,unfettered
504,64171,36,unfettered
505,65060,465,unfettered
506,62766,231,unfettered
507,28572,342,unfettered
508,11037,8,unfettered
509,55813,64,unfettered
510,47547,251,unfettered
511,11390,9,unfettered
512,63459,9,unfettered
513,93743,368,unfettered
514,35403,362,unfettered
515,34018,80,unfettered
516,74651,354,unfettered
517,11223,100,unfettered
518,17014,5,unfettered
519,71667,376,unfettered
520,79178,166,unfettered
521,66661,778,unfettered
522,47424,206,unfettered
523,73947,652,unfettered
524,18184,101,unfettered
525,20497,20,unfettered
526,80941,123,unfettered
527,30738,59,unfettered
528,47119,233,unfettered
529,68073,610,unfettered
530,49422,372,unfettered
531,53608,256,unfettered
532,12727,94,unfettered
533,21081,119,unfettered
534,98865,1443,unfettered
535,35279,450,unfettered
536,97907,457,unfettered
537,28277,278,unfettered
538,79868,722,unfettered
539,15360,87,unfettered
540,32750,120,unfettered
541,86373,552,unfettered
542,78822,57,unfettered
543,72576,414,unfettered
544,26689,11,unfettered
545,75891,686,unfettered
546,32630,253,unfettered
547,28885,50,unfettered
548,22056,99,unfettered
549,24872,70,unfettered
550,23228,136,unfettered
551,24306,21,unfettered
552,15685,166,unfettered
553,67506,125,unfettered
554,22115,82,unfettered
555,20983,1,unfettered
556,16675,67,unfettered
557,47196,627,unfettered
558,16947,53,unfettered
559,17391,266,unfettered
560,84782,74,unfettered
561,44302,102,unfettered
562,90735,167,unfettered
563,91983,248,unfettered
564,87714,338,unfettered
565,27543,10,unfettered
566,48232,293,unfettered
567,89755,899,unfettered
568,37550,228,unfettered
569,88176,511,unfettered
570,60350,332,unfettered
571,42220,85,unfettered
572,44234,133,unfettered
573,99736,523,unfettered
574,41634,26,unfettered
575,88727,10,unfettered
576,89262,774,unfettered
577,79718,211,unfettered
578,13664,34,unfettered
579,15879,86,unfettered
580,14873,49,unfettered
581,95482,74,unfettered
582,62918,128,unfettered
583,54459,173,unfettered
584,95656,185,unfettered
585,27424,250,unfettered
586,81911,863,unfettered
587,72198,390,unfettered
588,66244,135,unfettered
589,92077,658,unfettered
590,31687,173,unfettered
591,56135,288,unfettered
592,27883,72,unfettered
593,29793,136,unfettered
594,95353,307,unfettered
595,11590,107,unfettered
596,16450,178,unfettered
597,14720,106,unfettered
598,98397,796,unfettered
599,22620,20,unfettered
600,16787,86,unfettered
601,18241,144,unfettered
602,10860,11,unfettered
603,65418,52,unfettered
604,91745,99,unfettered
605,81733,541,unfettered
606,69898,588,unfettered
607,43126,21,unfettered
608,32813,68,unfettered
609,60089,158,unfettered
610,64982,667,unfettered
611,17181,15,unfettered
612,58731,4,unfettered
613,53056,219,unfettered
614,47073,90,unfettered
615,84059,335,unfettered
616,46263,113,unfettered
617,48882,31,unfettered
618,49180,79,unfettered
619,55517,556,unfettered
620,30788,55,unfettered
621,37254,224,unfettered
622,39253,178,unfettered
623,88038,606,unfettered
624,37834,51,unfettered
625,73607,456,unfettered
626,82868,97,unfettered
627,75992,147,unfettered
628,84794,67,unfettered
629,57509,378,unfettered
630,11641,62,unfettered
631,80604,848,unfettered
632,60262,118,unfettered
633,46219,311,unfettered
634,13901,123,unfettered
635,30006,121,unfettered
636,65606,252,unfettered
637,74147,770,unfettered
638,42265,2,unfettered
639,32131,63,unfettered
640,78042,762,unfettered
641,56210,218,unfettered
642,67265,517,unfettered
643,64386,570,unfettered
644,82253,65,unfettered
645,77713,1595,unfettered
646,48524,4,unfettered
647,95663,450,unfettered
648,61647,187,unfettered
649,91556,60,unfettered
650,96855,213,unfettered
651,62619,409,unfettered
652,91272,75,unfettered
653,30084,41,unfettered
654,90959,216,unfettered
655,78359,3,unfettered
656,77093,584,unfettered
657,97359,152,unfettered
658,81285,374,unfettered
659,29683,80,unfettered
660,27913,14,unfettered
661,27451,2,unfettered
662,76184,58,unfettered
663,54557,62,unfettered
664,52958,253,unfettered
665,93013,190,unfettered
666,80379,442,unfettered
667,65653,38,unfettered
668,23227,63,unfettered
669,33420,134,unfettered
670,22411,102,unfettered
671,47738,327,unfettered
672,52160,222,unfettered
673,12513,44,unfettered
674,42421,125,unfettered
675,10820,79,unfettered
676,40480,229,unfettered
677,47886,354,unfettered
678,39736,136,unfettered
679,70573,266,unfettered
680,20805,5,unfettered
681,17341,6,unfettered
682,63688,474,unfettered
683,26755,152,unfettered
684,78523,388,unfettered
685,20935,101,unfettered
686,67734,587,unfettered
687,19175,38,unfettered
688,83224,353,unfettered
689,78080,378,unfettered
690,53263,64,unfettered
691,25398,274,unfettered
692,53989,513,unfettered
693,81676,426,unfettered
694,98673,384,unfettered
695,14171,17,unfettered
696,94226,168,unfettered
697,15004,8,unfettered
698,70531,456,unfettered
699,39591,33,unfettered
700,27954,58,unfettered
701,66529,366,unfettered
702,33038,170,unfettered
703,83047,581,unfettered
704,62496,377,unfettered
705,43357,414,unfettered
706,57873,98,unfettered
707,67053,415,unfettered
708,39532,52,unfettered
709,77503,113,unfettered
710,67197,277,unfettered
711,28784,99,unfettered
712,75167,655,unfettered
713,34705,251,unfettered
714,98952,898,unfettered
715,59667,186,unfettered
716,54061,400,unfettered
717,43695,99,unfettered
718,32666,352,unfettered
719,86010,964,unfettered
720,46486,41,unfettered
721,46066,12,unfettered
722,61282,10,unfettered
723,35557,136,unfettered
724,25837,150,unfettered
725,44559,188,unfettered
726,27843,29,unfettered
727,27359,9,unfettered
728,67939,124,unfettered
729,36605,153,unfettered
730,23467,130,unfettered
731,82688,175,unfettered
732,94831,70,unfettered
733,69534,312,unfettered
734,46767,176,unfettered
735,46344,4,unfettered
736,49539,79,unfettered
737,32733,255,unfettered
738,66939,303,unfettered
739,16782,32,unfettered
740,63891,303,unfettered
741,34847,248,unfettered
742,27001,54,unfettered
743,68232,177,unfettered
744,95865,2,unfettered
745,99898,223,unfettered
746,39010,52,unfettered
747,94013,314,unfettered
748,57511,352,unfettered
749,92856,201,unfettered
750,53021,11,unfettered
751,17450,135,unfettered
752,90370,945,unfettered
753,38374,3,unfettered
754,13101,29,unfettered
755,15153,98,unfettered
756,99589,503,unfettered
757,23232,214,unfettered
758,97449,30,unfettered
759,10260,98,unfettered
760,80929,789,unfettered
761,82360,454,unfettered
762,88639,23,unfettered
763,84056,429,unfettered
764,33596,115,unfettered
765,74964,40,unfettered
766,17225,5,unfettered
767,92021,334,unfettered
768,60173,184,unfettered
769,35563,59,unfettered
770,91387,394,unfettered
771,66549,6,unfettered
772,98864,132,unfettered
773,79364,26,unfettered
774,88171,664,unfettered
775,22948,13,unfettered
776,93533,890,unfettered
777,58626,295,unfettered
778,71686,262,unfettered
779,76315,73,unfettered
780,99441,181,unfettered
781,83929,504,unfettered
782,20939,59,unfettered
783,87703,13,unfettered
784,14065,37,unfettered
785,37899,86,unfettered
786,96909,89,unfettered
787,35564,429,unfettered
788,52288,66,unfettered
789,15810,72,unfettered
790,79307,816,unfettered
791,57236,239,unfettered
792,80734,25,unfettered
793,78111,322,unfettered
794,44119,593,unfettered
795,14160,76,unfettered
796,49992,511,unfettered
797,69855,423,unfettered
798,48140,137,unfettered
799,16718,123,unfettered
800,90538,72,unfettered
801,58650,187,unfettered
802,65981,667,unfettered
803,85229,388,unfettered
804,15997,62,unfettered
805,18535,62,unfettered
806,77088,58,unfettered
807,19945,37,unfettered
808,36316,9,unfettered
809,67818,689,unfettered
810,95362,386,unfettered
811,90366,824,unfettered
812,71656,35,unfettered
813,73424,366,unfettered
814,18281,279,unfettered
815,50077,50,unfettered
816,34777,62,unfettered
817,71638,445,unfettered
818,27084,82,unfettered
819,16645,94,unfettered
820,94516,317,unfettered
821,58115,422,unfettered
822,86622,252,unfettered
823,35820,211,unfettered
824,12354,108,unfettered
825,20310,100,unfettered
826,42926,79,unfettered
827,91754,162,unfettered
828,56705,157,unfettered
829,12584,62,unfettered
830,49405,151,unfettered
831,62934,72,unfettered
832,11094,14,unfettered
833,41044,21,unfettered
834,47896,63,unfettered
835,90783,239,unfettered
836,55105,409,unfettered
837,61471,50,unfettered
838,13773,50,unfettered
839,22150,87,unfettered
840,13571,70,unfettered
841,92153,869,unfettered
842,87721,212,unfettered
843,49333,461,unfettered
844,12062,73,unfettered
845,40091,11,unfettered
846,24901,196,unfettered
847,56584,362,unfettered
848,99145,432,unfettered
849,82364,481,unfettered
850,41477,41,unfettered
851,84477,423,unfettered
852,73175,420,unfettered
853,51865,316,unfettered
854,69886,557,unfettered
855,85962,670,unfettered
856,83539,17,unfettered
857,83549,949,unfettered
858,38090,120,unfettered
859,54347,315,unfettered
860,67794,316,unfettered
861,35299,111,unfettered
862,97108,50,unfettered
863,96766,127,unfettered
864,60280,134,unfettered
865,34502,235,unfettered
866,90115,133,unfettered
867,69422,6,unfettered
868,51914,376,unfettered
869,55563,123,unfettered
870,30204,211,unfettered
871,76078,72,unfettered
872,44399,25,unfettered
873,26495,188,unfettered
874,71340,140,unfettered
875,24899,30,unfettered
876,72006,10,unfettered
877,46568,222,unfettered
878,14020,64,unfettered
879,67956,819,unfettered
880,20417,65,unfettered
881,19678,148,unfettered
882,97513,510,unfettered
883,81283,195,unfettered
884,53510,584,unfettered
885,70315,22,unfettered
886,27826,288,unfettered
887,24953,154,unfettered
888,33192,346,unfettered
889,60762,589,unfettered
890,26143,42,unfettered
891,98306,1244,unfettered
892,54980,225,unfettered
893,95107,1079,unfettered
894,35332,168,unfettered
895,30803,381,unfettered
896,13998,4,unfettered
897,71125,960,unfettered
898,28427,214,unfettered
899,79155,229,unfettered
900,76834,91,unfettered
901,88323,15,unfettered
902,95276,574,unfettered
903,47854,267,unfettered
904,11059,49,unfettered
905,10118,32,unfettered
906,70935,751,unfettered
907,75459,36,unfettered
908,41183,41,unfettered
909,90618,262,unfettered
910,71996,275,unfettered
911,40018,43,unfettered
912,95609,131,unfettered
913,72272,364,unfettered
914,80205,770,unfettered
915,87204,1244,unfettered
916,10421,19,unfettered
917,43660,277,unfettered
918,21395,108,unfettered
919,19830,8,unfettered
920,42493,228,unfettered
921,53001,90,unfettered
922,16069,195,unfettered
923,89931,112,unfettered
924,27015,181,unfettered
925,17256,165,unfettered
926,68769,120,unfettered
927,91450,1253,unfettered
928,54128,353,unfettered
929,99580,438,unfettered
930,42930,206,unfettered
931,94390,1162,unfettered
932,69226,271,unfettered
933,85329,419,unfettered
934,58244,492,unfettered
935,33112,30,unfettered
936,81229,422,unfettered
937,69165,287,unfettered
938,74702,487,unfettered
939,29263,133,unfettered
940,62142,693,unfettered
941,33010,352,unfettered
942,40360,145,unfettered
943,56440,392,unfettered
944,12307,122,unfettered
945,46085,245,unfettered
946,12778,75,unfettered
947,47359,221,unfettered
948,42106,118,unfettered
949,29236,184,unfettered
950,15274,55,unfettered
951,69611,375,unfettered
952,25974,83,unfettered
953,53334,70,unfettered
954,22783,85,unfettered
955,43734,133,unfettered
956,45464,72,unfettered
957,16705,68,unfettered
958,60373,150,unfettered
959,43188,297,unfettered
960,59197,67,unfettered
961,45082,116,unfettered
962,30423,200,unfettered
963,23877,15,unfettered
964,55859,176,unfettered
965,37567,53,unfettered
966,89851,1190,unfettered
967,25196,248,unfettered
968,63221,360,unfettered
969,56125,200,unfettered
970,90581,454,unfettered
971,28738,126,unfettered
972,98951,90,unfettered
973,69503,638,unfettered
974,49853,42,unfettered
975,71044,29,unfettered
976,72226,110,unfettered
977,18513,31,unfettered
978,98518,149,unfettered
979,21146,164,unfettered
980,55427,705,unfettered
981,80555,443,unfettered
982,32551,331,unfettered
983,81539,314,unfettered
984,12787,43,unfettered
985,16422,40,unfettered
986,51716,329,unfettered
987,87563,644,unfettered
988,41526,214,unfettered
989,14170,39,unfettered
990,85456,666,unfettered
991,49441,229,unfettered
992,44363,383,unfettered
993,47400,208,unfettered
994,71443,957,unfettered
995,53119,168,unfettered
996,80198,206,unfettered
997,80551,606,unfettered
998,46941,69,unfettered
999,66675,304,unfettered
0,92626,125,measures
1,99794,62,measures
2,76463,426,measures
3,57595,19,measures
4,67774,150,measures
5,21210,8,measures
6,96314,72,measures
7,82948,277,measures
8,69545,84,measures
9,27088,58,measures
10,23978,49,measures
11,30518,67,measures
12,14165,21,measures
13,42627,31,measures
14,24603,100,measures
15,46289,16,measures
16,19278,10,measures
17,61685,52,measures
18,80099,36,measures
19,30089,45,measures
20,51287,114,measures
21,87930,102,measures
22,23546,85,measures
23,58577,187,measures
24,92301,418,measures
25,72597,144,measures
26,52053,191,measures
27,12283,69,measures
28,72234,7,measures
29,84941,90,measures
30,86278,6,measures
31,37537,98,measures
32,42020,2,measures
33,64128,48,measures
34,23769,13,measures
35,55867,79,measures
36,19914,109,measures
37,30218,38,measures
38,80047,11,measures
39,81029,156,measures
40,46470,167,measures
41,80570,337,measures
42,13102,28,measures
43,44109,142,measures
44,33367,36,measures
45,53980,18,measures
46,52795,33,measures
47,69135,8,measures
48,20908,28,measures
49,81740,54,measures
50,16289,25,measures
51,27743,64,measures
52,70809,185,measures
53,47708,159,measures
54,39907,14,measures
55,29323,75,measures
56,20124,11,measures
57,13866,24,measures
58,36155,6,measures
59,76846,74,measures
60,94417,107,measures
61,60087,143,measures
62,12121,38,measures
63,69055,176,measures
64,59547,106,measures
65,97993,167,measures
66,34312,106,measures
67,95187,305,measures
68,66877,333,measures
69,44976,18,measures
70,13445,6,measures
71,34510,64,measures
72,13748,39,measures
73,98488,66,measures
74,30548,0,measures
75,15593,8,measures
76,28009,35,measures
77,15133,42,measures
78,20866,53,measures
79,93613,43,measures
80,73996,33,measures
81,18318,7,measures
82,62730,43,measures
83,24408,21,measures
84,72431,223,measures
85,28915,71,measures
86,92655,383,measures
87,77782,85,measures
88,69422,38,measures
89,41124,96,measures
90,34111,50,measures
91,43094,86,measures
92,16567,52,measures
93,63683,85,measures
94,86489,7,measures
95,95149,142,measures
96,33145,57,measures
97,88079,320,measures
98,99898,184,measures
99,32547,12,measures
100,42542,3,measures
101,89716,250,measures
102,89395,19,measures
103,67165,143,measures
104,85084,56,measures
105,84648,70,measures
106,62870,120,measures
107,99280,282,measures
108,12459,49,measures
109,91995,216,measures
110,80442,39,measures
111,21091,3,measures
112,34925,96,measures
113,97274,121,measures
114,40392,37,measures
115,68991,19,measures
116,45348,31,measures
117,12071,19,measures
118,25414,111,measures
119,85023,186,measures
120,67724,172,measures
121,84630,124,measures
122,70256,108,measures
123,25638,43,measures
124,61652,154,measures
125,22434,66,measures
126,67763,202,measures
127,90286,204,measures
128,26803,48,measures
129,70299,1,measures
130,23791,9,measures
131,88591,143,measures
132,58105,104,measures
133,20870,5,measures
134,42502,76,measures
135,67636,86,measures
136,40354,91,measures
137,71548,339,measures
138,14430,23,measures
139,92786,493,measures
140,50056,55,measures
141,87975,270,measures
142,94662,224,measures
143,33948,37,measures
144,97437,296,measures
145,24378,46,measures
146,57944,36,measures
147,18395,20,measures
148,72634,135,measures
149,92502,215,measures
150,26720,121,measures
151,74364,396,measures
152,70652,224,measures
153,21063,18,measures
154,47123,110,measures
155,98039,94,measures
156,66283,140,measures
157,75369,194,measures
158,40619,72,measures
159,14156,46,measures
160,37103,42,measures
161,14214,27,measures
162,87627,20,measures
163,86983,146,measures
164,76640,193,measures
165,33725,89,measures
166,28228,12,measures
167,39747,157,measures
168,25473,59,measures
169,67644,92,measures
170,12980,27,measures
171,35379,100,measures
172,80894,130,measures
173,43761,2,measures
174,55933,59,measures
175,13375,19,measures
176,92623,352,measures
177,47913,124,measures
178,38959,2,measures
179,67476,64,measures
180,99270,139,measures
181,51634,200,measures
182,50889,180,measures
183,92701,433,measures
184,77376,233,measures
185,64145,91,measures
186,94199,341,measures
187,65327,77,measures
188,53050,16,measures
189,22077,32,measures
190,89499,101,measures
191,82212,302,measures
